"","v"
"1",1.21603206412826
"2",3.01047951730708
"3",1.41560125995924
"4",1.78621197642937
"5",1.48943816635387
"6",2.12786401236886
"7",1.48347587371978
"8",1.42368045649073
"9",2.07304658884417
"10",2.20106205502949
"11",1.81067114314868
"12",1.99473728885494
"13",1.32094686902308
"14",0.99152244403641
"15",0.87311435704995
"16",4.01977497442891
"17",1.60484060995725
"18",2.5375118708452
"19",3.61221542264112
"20",1.86425616083629
"21",1.33938744815642
"22",3.36000458860306
"23",2.38509684826488
"24",4.85890184988806
"25",0.779137015458044
"26",1.14526107399159
"27",1.93560858106174
"28",2.021876617282
"29",1.32008342534658
"30",2.24342839633172
"31",1.41942646738481
"32",2.09800741427247
"33",2.11743772241993
"34",4.46340570527442
"35",2.34700298563415
"36",1.88417779197475
"37",2.94578929423798
"38",2.16728956776081
"39",1.17028809022843
"40",1.53497378737071
"41",1.53890926022932
"42",2.06721841681321
"43",1.60930890457572
"44",1.76203756124496
"45",1.5109244224319
"46",11.3331245432717
"47",2.14988949166164
"48",1.48522392606885
"49",1.54146507087684
"50",3.08882698854844
"51",1.08226085647626
"52",2.19092979913025
"53",2.07535849790014
"54",1.09172533414958
"55",1.6401861159957
"56",1.29828202467428
"57",2.91347207009858
"58",1.08950025437326
"59",1.08888659232048
"60",1.34147720846058
"61",1.7921472466927
"62",1.32628330893563
"63",1.14288041707397
"64",1.64107177279445
"65",0.819685292228645
"66",2.12907653938418
"67",1.49364471203552
"68",2.33447234190066
"69",2.14612529135852
"70",2.71112449194641
"71",2.28678816372396
"72",2.032096056235
"73",0.774804204883361
"74",1.12655800575264
"75",1.7787024556057
"76",1.47999519816158
"77",2.93293095202757
"78",1.96078431372549
"79",2.10239126945916
"80",4.49168318020777
"81",1.69073350891533
"82",1.18865805273408
"83",2.06603126413965
"84",1.85605803783307
"85",1.51012202534013
"86",1.06131144953839
"87",1.85911225571883
"88",1.62013698153878
"89",1.65103096611302
"90",2.63853584138282
"91",5.384688198465
"92",0.876017435709348
"93",2.93334993230731
"94",1.19059381484043
"95",1.82880592354699
"96",1.64697457930541
"97",2.1464589448333
"98",1.26758435320594
"99",1.02307130180603
"100",1.7293326499868
"101",2.75794381057539
"102",1.927697253398
"103",1.97809460862997
"104",2.96676247553816
"105",1.47425864038242
"106",1.10866588419405
"107",1.35822262940907
"108",1.35051258091139
"109",1.74586125176888
"110",3.4138024566978
"111",2.4173140954495
"112",2.25611076674907
"113",1.75402332791968
"114",1.50336540633329
"115",5.01857955619004
"116",2.09010772990214
"117",2.5547697084699
"118",1.34005044152134
"119",1.2985179957657
"120",0.891488921101677
"121",2.949331370384
"122",1.19934588080664
"123",3.90737307704817
"124",1.03136005366426
"125",1.52386111696311
"126",1.14987603647883
"127",0.656344967722213
"128",2.42987304468042
"129",0.956682213581364
"130",1.72341229158798
"131",0.778968606124043
"132",1.86073152769822
"133",1.0950065708057
"134",1.32992327365729
"135",3.07272570151723
"136",1.26259043836005
"137",1.72973444001481
"138",1.37783921227325
"139",1.25589303655615
"140",7.65320389900927
"141",1.34705632623088
"142",2.8152535028167
"143",1.15036079046362
"144",2.21316965811382
"145",2.16442519074098
"146",1.1990912519846
"147",2.59066803524078
"148",2.09685572742898
"149",2.61648745519713
"150",0.920914881913515
"151",2.23929220534275
"152",2.04779237221079
"153",2.28533510285335
"154",1.86379928315412
"155",3.30118694362018
"156",1.27148607484769
"157",1.32841377653825
"158",1.45548763615325
"159",1.79804083127346
"160",1.43804035479342
"161",3.33069658181121
"162",1.16441784214988
"163",0.908031942514701
"164",3.04600082884376
"165",1.09294247225282
"166",1.70370715494883
"167",1.96128851278695
"168",2.38802508452199
"169",1.72206080362837
"170",2.33127026230474
"171",1.38387687880116
"172",1.17838345234503
"173",1.4279236156598
"174",3.18181818181818
"175",1.49142348577399
"176",1.38343637603141
"177",1.61900275889913
"178",2.07872532153682
"179",0.793810965354861
"180",1.2489337594052
"181",2.80248345793589
"182",2.13900660151633
"183",2.36050095075733
"184",1.93889312156909
"185",1.53148141709836
"186",1.24879126951236
"187",2.43460586779781
"188",2.26097178683386
"189",1.60868816800463
"190",1.89512830755769
"191",2.29928382962684
"192",1.03751055187192
"193",1.15936150615594
"194",0.990635567501951
"195",2.02529029591454
"196",1.14837589395201
"197",3.23099336318999
"198",0.679839503368915
"199",3.31903172837544
"200",2.15302937905801
